subject_id,copy_number,fusion_fission,mitophagy,heterogeneity,metabolism_>_carbohydrate_metabolism_>_tca_cycle,metabolism_>_metals_and_cofactors_>_copper_metabolism,metabolism_>_metals_and_cofactors_>_fe_s_containing_proteins,mitochondrial_dynamics_and_surveillance,mitochondrial_dynamics_and_surveillance_>_cristae_formation,mitochondrial_dynamics_and_surveillance_>_fission,mitochondrial_dynamics_and_surveillance_>_fusion,mitochondrial_dynamics_and_surveillance_>_organelle_contact_sites,oxphos_>_complex_i_>_ci_subunits,oxphos_>_complex_ii_>_cii_subunits,oxphos_>_complex_iv_>_civ_subunits,oxphos_>_complex_v_>_cv_subunits,oxphos_>_oxphos_subunits,protein_import,signaling_>_calcium_homeostasis_>_calcium_cycle,signaling_>_calcium_homeostasis_>_mitochondrial_permeability_transition_pore,small_molecule_transport,small_molecule_transport_>_slc25a_family,sorting_and_homeostasis_>_protein_homeostasis_>_chaperones,sorting_and_homeostasis_>_protein_import_and_sorting_>_tom,MHI,disease_mode
BIOKEY_1,0.0,-0.1883145,-0.0460479,0.5949000124081854,,,,,,,,,,,,,,,,,,,,,0.2144728881621961,triple-negative breast carcinoma
BIOKEY_10,0.0,-0.18369937,-0.14005047,0.4788219903806391,,,,,,,,,,,,,,,,,,,,,0.1762143642405852,triple-negative breast carcinoma
BIOKEY_11,0.0,-0.16888179,-0.018969983,0.3851462678718182,,,,,,,,,,,,,,,,,,,,,0.1811626046103703,triple-negative breast carcinoma
BIOKEY_12,0.0,-0.19568749,-0.11405573,0.5023803884003352,,,,,,,,,,,,,,,,,,,,,0.1829282014474705,estrogen-receptor positive breast cancer
BIOKEY_13,0.0,-0.23777655,-0.30098614,0.5199879713310738,,,,,,,,,,,,,,,,,,,,,0.1460698353417625,HER2 positive breast carcinoma
BIOKEY_14,0.0,-0.20499812,-0.11938307,0.6849500642650221,,,,,,,,,,,,,,,,,,,,,0.2165666735530362,triple-negative breast carcinoma
BIOKEY_15,0.0,-0.1562792,-0.10850711,0.5585177576327883,,,,,,,,,,,,,,,,,,,,,0.2030279778622013,triple-negative breast carcinoma
BIOKEY_16,0.0,-0.2020731,-0.14006507,0.5066091564301072,,,,,,,,,,,,,,,,,,,,,0.1780478393881022,triple-negative breast carcinoma
BIOKEY_17,0.0,0.30032337,0.6369892,0.3621023995769479,,,,,,,,,,,,,,,,,,,,,0.3831178395008645,estrogen-receptor positive breast cancer
BIOKEY_18,0.0,-0.21426342,-0.20685793,0.6584348272753677,,,,,,,,,,,,,,,,,,,,,0.1944894503142779,estrogen-receptor positive breast cancer
BIOKEY_19,0.0,-0.17495024,-0.062640786,0.6555036056783017,,,,,,,,,,,,,,,,,,,,,0.226431915317597,triple-negative breast carcinoma
BIOKEY_2,0.0,-0.21772915,-0.098350875,0.5818757652409486,,,,,,,,,,,,,,,,,,,,,0.1970187989474787,triple-negative breast carcinoma
BIOKEY_20,0.0,-0.14495571,-0.020391889,0.5966842625067825,,,,,,,,,,,,,,,,,,,,,0.2279544123995148,estrogen-receptor positive breast cancer
BIOKEY_21,0.0,0.060323726,0.35251027,0.2060081119631781,,,,,,,,,,,,,,,,,,,,,0.2550267115715412,estrogen-receptor positive breast cancer
BIOKEY_22,0.0,-0.11894164,-0.13305022,0.3096964080574247,,,,,,,,,,,,,,,,,,,,,0.1567335218729273,estrogen-receptor positive breast cancer
BIOKEY_23,0.0,0.059995826,0.09638545,0.606366877085229,,,,,,,,,,,,,,,,,,,,,0.2911624175975738,HER2 positive breast carcinoma
BIOKEY_24,0.0,0.2010749,0.26315066,0.6005209518047482,,,,,,,,,,,,,,,,,,,,,0.346906260951581,estrogen-receptor positive breast cancer
BIOKEY_25,0.0,-0.35201487,-0.2925101,0.4392933067842277,,,,,,,,,,,,,,,,,,,,,0.1083602994793751,triple-negative breast carcinoma
BIOKEY_26,0.0,0.054457042,0.15691695,0.0,,,,,,,,,,,,,,,,,,,,,0.2173906107435437,triple-negative breast carcinoma
BIOKEY_27,0.0,-0.114441216,-0.11085321,0.5505810048141196,,,,,,,,,,,,,,,,,,,,,0.2094878694265372,estrogen-receptor positive breast cancer
BIOKEY_28,0.0,0.049151603,0.2500206,0.593391407549149,,,,,,,,,,,,,,,,,,,,,0.3125844501220827,HER2 positive breast carcinoma
BIOKEY_29,0.0,-0.034861688,0.18025152,0.6363328025230448,,,,,,,,,,,,,,,,,,,,,0.2922992525952998,estrogen-receptor positive breast cancer
BIOKEY_3,0.0,0.08278643,0.05147777,0.3399274155894167,,,,,,,,,,,,,,,,,,,,,0.2349442784062191,estrogen-receptor positive breast cancer
BIOKEY_30,0.0,0.36870074,0.4547771,0.2068526465028594,,,,,,,,,,,,,,,,,,,,,0.3348696049892684,estrogen-receptor positive breast cancer
BIOKEY_31,0.0,0.05194055,0.123474166,0.4364847919379292,,,,,,,,,,,,,,,,,,,,,0.2602616305461037,triple-negative breast carcinoma
BIOKEY_32,0.0,-0.23189324,-0.27905038,0.4954353677270319,,,,,,,,,,,,,,,,,,,,,0.1460991841243219,estrogen-receptor positive breast cancer
BIOKEY_33,0.0,-0.21317677,-0.18583006,0.4566842827641614,,,,,,,,,,,,,,,,,,,,,0.1580417440497091,triple-negative breast carcinoma
BIOKEY_34,0.0,-0.20910062,-0.25992712,0.4445584366289302,,,,,,,,,,,,,,,,,,,,,0.1438092750791287,triple-negative breast carcinoma
BIOKEY_35,0.0,-0.17859761,-0.08984761,0.5374707700508631,,,,,,,,,,,,,,,,,,,,,0.1975065559738508,triple-negative breast carcinoma
BIOKEY_36,0.0,-0.18867965,-0.060293093,0.5195856182713632,,,,,,,,,,,,,,,,,,,,,0.1969433763579587,triple-negative breast carcinoma
BIOKEY_37,0.0,-0.23194481,-0.13860106,0.642309736706931,,,,,,,,,,,,,,,,,,,,,0.19934368777514,estrogen-receptor positive breast cancer
BIOKEY_38,0.0,-0.0845675,-0.051165033,0.436943119100601,,,,,,,,,,,,,,,,,,,,,0.2030226099385437,HER2 positive breast carcinoma
BIOKEY_39,0.0,-0.22007453,-0.21337809,0.5277033007079515,,,,,,,,,,,,,,,,,,,,,0.1661214957487071,triple-negative breast carcinoma
BIOKEY_4,0.0,-0.052731123,0.20260733,0.4963753361105311,,,,,,,,,,,,,,,,,,,,,0.2645812313413362,estrogen-receptor positive breast cancer
BIOKEY_40,0.0,-0.26468644,-0.27285197,0.5299999353503909,,,,,,,,,,,,,,,,,,,,,0.147434325783296,estrogen-receptor positive breast cancer
BIOKEY_41,0.0,-0.23973379,-0.13300288,0.4284305002226767,,,,,,,,,,,,,,,,,,,,,0.1560536372611355,triple-negative breast carcinoma
BIOKEY_42,0.0,-0.13345283,-0.0560457,0.5232898700787008,,,,,,,,,,,,,,,,,,,,,0.2095523016817544,estrogen-receptor positive breast cancer
BIOKEY_5,0.0,-0.19718513,-0.16931945,0.4664050602287035,,,,,,,,,,,,,,,,,,,,,0.1660241074638379,estrogen-receptor positive breast cancer
BIOKEY_6,0.0,-0.07571893,-0.023811491,0.5783120942819621,,,,,,,,,,,,,,,,,,,,,0.2376786473491356,estrogen-receptor positive breast cancer
BIOKEY_7,0.0,0.30804023,0.41591895,0.413473522813834,,,,,,,,,,,,,,,,,,,,,0.357225589784659,estrogen-receptor positive breast cancer
BIOKEY_8,0.0,-0.16738556,0.019452222,0.3952218080014208,,,,,,,,,,,,,,,,,,,,,0.1900269530718875,triple-negative breast carcinoma
BIOKEY_9,0.0,-0.31134138,-0.29396835,0.5193107307007894,,,,,,,,,,,,,,,,,,,,,0.132285035366387,triple-negative breast carcinoma
CID3586,0.0,-0.42030507,-0.45807058,0.6636823779191685,,,,,,,,,,,,,,,,,,,,,0.1111150397321849,invasive ductal breast carcinoma
CID3838,0.0,0.59065694,0.49635026,0.8189460842486361,,,,,,,,,,,,,,,,,,,,,0.5088767068671358,invasive ductal breast carcinoma
CID3921,0.0,0.24070257,0.05670066,0.9196986503260106,,,,,,,,,,,,,,,,,,,,,0.3833795160736539,invasive ductal breast carcinoma
CID3941,0.0,-0.2746696,-0.23316464,0.7747476915281833,,,,,,,,,,,,,,,,,,,,,0.2010190772773314,invasive ductal breast carcinoma
CID3946,0.0,-0.4843414,-0.51348567,0.7184148587213017,,,,,,,,,,,,,,,,,,,,,0.1053320377339164,invasive ductal breast carcinoma
CID3948,0.0,-0.37125483,-0.43047556,0.8595941098102446,,,,,,,,,,,,,,,,,,,,,0.1648077892739701,invasive ductal breast carcinoma
